Name,Function,Details,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Score,NumOfReviews,Indoor/Outdoors,Longitude,Latitude,Image
Dongdaemun Market,Market,"종로 4가와 청계 4가에서 시작하여 흥인지문 인근까지 이어져 있는 재래시장과 쇼핑센터의 복합시장단지. 다른 말로 동대문종합시장, 동대문쇼핑타운, 동대문패션타운 등으로도 불린다.",9AM–6PM,Closed,9AM–6PM,9AM–6PM,9AM–6PM,9AM–6PM,9AM–6PM,4,"1,276",Outdoor,127.0014781,37.5693936,Dongdaemun Market.jpg
Gwanghwamun Gate,Historical Landmark,"조선 왕조의 정궁인 경복궁의 정문을 가리키는 말. 다만 일반 대중들에겐 정문을 지칭하는 것 외에도 '광화문' 자체가 세종대로, 광화문광장 등을 비롯한 일대를 통칭하는 지명으로 많이 쓰이고 있다. ",8AM–5PM,8AM–5PM,8AM–5PM,8AM–5PM,8AM–5PM,8AM–5PM,8AM–5PM,4.5,"4,012",Outdoor,126.9746217,37.5759369,Gwanghwamun Gate.jpg
Sungnyemun Gate,Historical Landmark,600년 동안 한양을 둘러싸고 있었던 한양도성의 남쪽에 위치한 문. 현재도 서울시의 중심에 위치하고 있다. 대한민국 국보 1호. 서울의 상징이나 다름 없는 건축물이다.,9AM–6PM,9AM–6PM,Closed,9AM–6PM,9AM–6PM,9AM–6PM,9AM–6PM,4.3,"2,606",Outdoor,126.9741131,37.5600716,Sungnyemun Gate.jpg
Changgyeonggung Palace,Palace,"조선 시대의 궁궐 중 하나. 일제강점기 및 해방 후 40여 년 동안 '창경원(昌慶苑)'이라는 이름으로 불렸으나 1986년 궁궐 복원에 따라 창경궁으로 환원되었다. 서울특별시 종로구 와룡동에 있다.

조선 시대에는 창덕궁과 연결되어 동궐로 불리면서 실질적으로 하나의 궁궐 역할을 했다.",9AM–5:30PM,9AM–5:30PM,Closed,9AM–5:30PM,9AM–5:30PM,9AM–5:30PM,9AM–5:30PM,4.5,879,Outdoor,126.9907223,37.5791008,Changgyeonggung Palace.jpg
Jongmyo Shrine,Historical Landmark,조선 시대 역대 왕과 왕비 및 추존된 왕과 왕비의 신주(神主)를 모신 왕실의 유교 사당.  '종묘사직'이란 말에서 알 수 있듯 전제왕조 당시 왕실과 나라를 상징하는 건물 중 하나였다. ,,,,,,,,4.5,237,Outdoor,126.991949,37.574583,Jongmyo Shrine.jpg
The National Folk Museum of Korea,Museum,"고유한 민속 자료의 수집·보존·전시와 이와 연관된 체계적인 조사·연구를 위해 설립된 문화체육관광부 산하 국립 박물관이다. 서울특별시 종로구 삼청로 37번지에 위치한 경복궁 경내에 위치해 있다. 2017년 부터 국립 박물관 관람 규칙에 의거 1월 1일, 설 당일, 추석 당일 휴관한다. ",9AM–7PM,9AM–7PM,9AM–6:30PM,9AM–6:30PM,9AM–6:30PM,9AM–6:30PM,9AM–6:30PM,4.4,626,Indoor,126.9768008,37.5816456,The National Folk Museum of Korea.jpg
Blue House,Government Office,서울 종로구에 있는 대한민국 대통령의 관저.,,,,,,,,3.4,455,Indoor,126.9702079,37.5816452,Blue House.jpg
Gwanghwamun Square,Plaza,서울특별시 종로구 광화문에서 세종로사거리와 청계광장으로 이어지는 세종로 중앙에 조성된 광장.,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.4,"1,927",Outdoor,126.974581,37.5740339,Gwanghwamun Square.jpg
Bukhansan National Park,National Park,서울특별시와 경기도에 걸쳐 있는 산. '북한산'이란 이름은 조선 후기에 한강 이북에 있다고 하여 붙여진 이름이다.,4AM–5PM,4AM–5PM,4AM–5PM,4AM–5PM,4AM–5PM,4AM–5PM,4AM–5PM,4.5,401,Outdoor,126.9567363,37.6693702,Bukhansan National Park.jpg
Banpo Bridge,Bridge,"서울특별시 용산구 서빙고동과 서초구 반포동을 잇는 길이 1,490m, 너비 25m의 6차선 다리이다. 한국 최초의 2층 교량으로, 1층은 홍수가 났을 때 물에 잠기도록 설계된 잠수교이고, 2층이 반포대교이다. ",,,,,,,,4.3,346,Outdoor,126.9610508,37.5156865,Banpo Bridge.jpg
Dongdaemun Design Plaza,Cultural Center,"끊임없이 새롭고, 쉴 새 없이 움직이는 곳 
꿈꾸고(Dream), 만들고(Design), 누린다(Play)는 뜻을 가지고 있는 DDP(동대문 디자인 플라자)는 전시, 패션쇼, 포럼, 컨퍼런스 등 국내외 주요 행사들을 진행하고 있다. 건축물투어는 현장접수, 행사 일정, 키즈 프로그램 등은 사이트를 통해 확인하고 신청할 수 있다. ",10AM–9PM,10AM–7PM,Closed,10AM–7PM,10AM–7PM,10AM–7PM,10AM–9PM,4.3,"8,501",Indoor,127.007312,37.566725,Dongdaemun Design Plaza.jpg
Heunginjimun,Historical Landmark,"보물 제 1호, 서울특별시 종로구 종로6가에 있는 조선시대의 성문.",,,,,,,,4.1,"1,075",Outdoor,127.0007191,37.5667246,Heunginjimun.jpg
National Museum of Korea,Museum,"대한민국 최대 규모의 국립 박물관.
국립중앙박물관은 박물관 일반의 사업 외에 다음 각 호의 업무를 수행한다
1. 국내외 문화재의 보존·관리
2. 국내외 박물관자료의 체계적인 보존·관리
3. 국내 다른 박물관에 대한 지도·지원 및 업무 협조
4. 국내 박물관 협력망의 구성 및 운영
5. 그 밖에 국가를 대표하는 박물관으로서의 기능 수행에 필요한 업무",10AM–9PM,10AM–7PM,10AM–6PM,10AM–6PM,10AM–9PM,10AM–6PM,10AM–6PM,4.6,"5,788",Indoor,126.9782762,37.5238506,National Museum of Korea.jpg
63 Building,Tower,"현대식 63 층 타워. IMAX 영화관, 수족관 및 서울 도시 전경을 볼 수 있는하늘 갑판 등이있다.",,,,,,,,4.1,"2,605",Indoor,126.9380163,37.5193776,63 Building.jpg
Seoul Grand Park,Theme Park,"미술관 및 테마파크로 1995년 현재 동물원에는 총 366종 3,048수의 동물이 세계지도 모형으로 배치된 아프리카관 ·유라시아관 ·남북미관 ·호주관 등 75개 사육사에서 사육되고 있다. 
식물원에는 총 1,144종 3만 6610본의 열대 ·아열대식물이 2,825㎡ 넓이의 열대 ·아열대관, 선인장 및 다육식물관, 난 ·양치류관 등에 수집되어 있다.
부대시설로는 청소년 문화시설 ·시민이용 위락시설 ·자연공원 ·호수 ·관리시설 등이 있고, 그 밖에도 민속놀이터 ·잔디운동장 ·전망대 ·어린이놀이터 ·음악당 등과 동물 ·식물연구소가 있다. 이 가운데 동 ·식물원과 부대시설은 시비로, 문화시설 및 위락시설은 민자를 유치해서 운영하고 있다. 이 밖에도 호수변을 순회하는 무궤도열차가 운행되고 있다.",,,,,,,,4.3,"3,958",Outdoor,127.0029734,37.431624,Seoul Grand Park.jpg
War Memorial of Korea,Museum,"전쟁에 관한 사적과 사건을 기념하기 위해 1991년에 착공하여 1994년 6월 개관한 기념관. 연건평 2만 5천 평에 지하 2층, 지상 4층 규모이며, 호국추모실·전쟁역사실·한국전쟁실·해외파병실·국군발전실·대형장비실 등 6개 전시실로 구분되어 있다.
",,,,,,,,4.5,"6,163",Indoor,126.9749457,37.5366059,War Memorial of Korea.jpg
Seoul Forest,Park,뉴욕의 센트럴 파크나 런던의 하이드 파크 등을 본따 조성한 서울 도심 속의 녹지. 약 35만 평의 부지에 약 2352억 원의 사업비를 들여 테마공원 다섯 곳과 기타 시설들을 만들고 2005년 6월에 개장하였다.,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.5,"1,814",Outdoor,127.0362841,37.5450111,Seoul Forest.jpg
Bongeunsa,Religious Building,"서울특별시 강남구 삼성동 봉은사로에 위치한 도심 속의 고찰(古刹). 대한불교 조계종 종파의 사찰이며, 신라 원성왕 때인 서기 794년에 창건되었다.",,,,,,,,4.6,367,Outdoor,127.0551826,37.514852,Bongeunsa.jpg
Jogyesa,Religious Building,"서울특별시 종로구에 위치한 사찰. 대한민국 불교의 1번지이자 대한불교 조계종의 총본산(總本山). 사찰 규모는 아담하지만, 한국불교 최대 종단의 본사(本寺)답게 경복궁 근정전에 맞먹는다는 크고 아름다운 대웅전이 있고, 입구에는 '大韓佛敎總本山曹溪寺(대한불교 총본산 조계사)' 현판이 걸린 거대한 일주문이 정문 역할을 한다. 경내에는 천연기념물 제9호인 백송(Pinus bungeana)이 자라고 있다. ",,,,,,,,4.3,319,Outdoor,126.9804558,37.5743716,Jogyesa.jpg
Olympic Park,Park,"올림픽 공원은 체육공간, 문화예술공간, 역사와 교육의 장소, 휴식공간 등 다양한 용도를 갖춘 만능공원으로 자리매김하고 있다. 또한 백제 초기의 유적인 몽촌토성과 몽촌해자(인공호수)를 중심으로 43만평의 대지 위에 조성되어 있고, 세계적인 조각작품들, 기념조형물, 88놀이마당, 산책로, 올림픽스포츠센터 등이 들어서 있다. 이 외에도 각종 유료, 무료 공연이 수시 개최되고 있어 시민들을 위한 다목적 휴식공간의 역할을 담당하고 있다. 서울올림픽을 치른 수영장, 체조경기장, SK핸드볼경기장, 우리금융아트홀, 테니스장을 비롯, 벨로드롬등이 있다.",,,,,,,,4.6,854,Indoor/Outdoors,127.1193001,37.5206868,Olympic Park.jpg
Namhansanseong World Heritage Centre,Tourist Attraction,"경기도 광주시 남한산성면 산성리에 있는 북한산성과 함께 수도 한양을 지키던 조선시대의 산성. 사적 제57호. 현재 남아있는 시설은 동·서·남문루와 장대·돈대·보 등의 방어시설과 비밀통로인 암문, 우물, 관아, 군사훈련시설 등이 있다.",9AM–5PM,9AM–5PM,9AM–5PM,9AM–5PM,9AM–5PM,9AM–5PM,9AM–5PM,4.2,298,Outdoor,127.1843729,37.4790366,Namhansanseong World Heritage Centre.jpg
Seoul Land,Theme Park,경기도 과천시 서울대공원 안에 있는 대단위 위락공간이다. 놀이·교양·편익·조경·휴양·운동·교통·관리시설 등 8개 부문에 걸쳐 250여 가지의 각종 시설을 갖추고 있다.,9:30AM–10PM,9:30AM–10PM,9:30AM–10PM,9:30AM–10PM,9:30AM–10PM,9:30AM–10PM,9:30AM–10PM,4.2,"3,128",Outdoor,127.0179327,37.4341563,Seoul Land.jpg
Seoul Children's Grand Park,Theme Park,"서울 광진구에 있는 어린이공원. 가족 단위 휴식공간으로, 공원 출입문은 정문, 동문, 서문, 남문, 북문, 후문, 능동문, 회관문, 구의문 등 9개가 있으며, 주요 시설로 동물나라, 놀이동산, 자연나라 등이 있다. ",5AM–10PM,5AM–10PM,5AM–10PM,5AM–10PM,5AM–10PM,5AM–10PM,5AM–10PM,4.4,"2,973",Outdoor,127.0699623,37.5483014,Seoul Children's Grand Park.jpg
Inwangsan,Mountain,서울 종로구와 서대문구 홍제동(弘濟洞) 경계에 있는 산.,,,,,,,,4.4,54,Outdoor,126.9417517,37.5849471,Inwangsan.jpg
Gyeonghuigung,Palace,조선 후기 동안 정궁인 창덕궁에 이은 제2의 궁궐(이궁)로 양대 궁궐 체제의 한 축을 담당했다. 많은 왕들이 경희궁에서 적지 않은 시간 동안 거처하면서 창덕궁이 지닌 정궁으로서의 기능을 일정 부분 나눠서 수행했다. 조선시대에는 주로 창덕궁+창경궁을 지칭하는 '동궐'에 대비되는 이름인 '서궐'로 불리웠다.,9AM–6PM,9AM–6PM,Closed,9AM–6PM,9AM–6PM,9AM–6PM,9AM–6PM,4.2,274,Outdoor,126.9659748,37.5712378,Gyeonghuigung.jpg
World Cup Park (월드컵공원),Park,"서울특별시 마포구 상암동과 성산동 일원에 2002 FIFA 월드컵 한국/일본을 기념하여 조성된 공원이다. 1978년부터 1993년까지 한강변의 쓰레기 매립장이었던 난지도 쓰레기 매집장이 폐쇄된 자리와 그 주변에 조성하였으며, 평화의 공원, 하늘공원, 노을공원, 난지천공원, 난지한강공원등 5개의 공원으로 이루어져 있다.",Closed,Closed,8:30AM–6PM,8:30AM–6PM,8:30AM–6PM,8:30AM–6PM,8:30AM–6PM,4.3,236,Outdoor,126.8951226,37.5639074,World Cup Park (월드컵공원).jpg
Trickeye Museum Seoul,Museum,"트릭아이뮤지엄은 관람객이 주인공이 되는 신개념의 문화,엔터테인먼트 공간으로 미술작품 전시관으로는 세계 최초로 작품에 AR(증강현실)기술을 적용해 관람객에게 더욱 놀라운 경험을제공하고 있습니다.  Trickeye 앱을 설치한 뒤, 작품과 적당한 거리를 두고 정해진 위치에서 찍으면 놀라운 AR효과가 나타나며, 사진뿐만 아니면, 동영상에도 효과적용이 가능합니다. 작품을 영상으로 찍으면 더 실감나고 놀라운 증강현실을 즐길 수 있습니다.",9AM–9PM,9AM–9PM,9AM–9PM,9AM–9PM,9AM–9PM,9AM–9PM,9AM–9PM,4.2,"1,967",Indoor,126.9195323,37.5535655,Trickeye Museum Seoul.jpg
National Palace Museum of Korea,Museum,"조선왕실의 문화재 및 궁중 유물을 전시·관리하고 있으며 궁중유물의 홍보 및 사회교육, 학술도서와 자료의 수집, 출판, 관리 업무도 담당한다.

박물관은 지상2층, 지하1층의 규모(연면적 18,284 ㎡)로 전시실(15개실), 수장고, 보존과학실 등의 시설이 있다.

전시실은 제왕기록실, 국가의례실, 궁궐건축실, 과학문화실, 왕실생활실, 탄생교육실, 왕실문예실, 대한제국실, 궁중회화실, 궁중음악실, 어가의장실, 자격루실 등으로 구성되어 궁중 유물을 전시하고 있다.
",9AM–7PM,9AM–7PM,9AM–6PM,9AM–6PM,9AM–6PM,9AM–6PM,9AM–6PM,4.4,"1,510",Indoor,126.9729025,37.5765793,National Palace Museum of Korea.jpg
Seoul Museum of History,Museum,"서울역사박물관은 조선시대부터 현재에 이르기까지의 서울의 역사와 문화를 정리하여 보여주는 서울도시역사박물관입니다.(개관 2002.5.21)

도시 서울의 역사를 담은 세계에서 유일한 박물관으로 

- 상설전시실, 기획전시실, 기증유물전시실, 교육실, 강당, 뮤지엄샵이 있으며

- 전통문화체험교실, 아이좋은 박물관 등 대상별 맞춤 교육프로그램과 

- 음악회 등 다양한 문화프로그램을 운영하고 있습니다.",9AM–7PM,9AM–7PM,Closed,9AM–8PM,9AM–8PM,9AM–8PM,9AM–8PM,4.4,"1,376",Indoor,126.9683159,37.5705077,Seoul Museum of History.jpg
"Leeum, Samsung Museum of Art",Art Museum,1965년 삼성문화재단 설립 이후 소중한 문화 유산을 보전하고 대중에게 알리고자 노력해온 삼성미술관은 2004년 서울 한남동에 미술관 건물을 신축하면서 삼성미술관 Leeum을 개관했습니다. 수준 높은 소장품 전시 및 기획전시 개최 등 그간의 괄목할만한 활동과 성과로 지금 리움은 명실공히 한국을 대표하는 미술관으로 성장하였습니다.,10:30AM–6PM,10:30AM–6PM,Closed,10:30AM–6PM,10:30AM–6PM,10:30AM–6PM,10:30AM–6PM,4.4,849,Indoor,126.996385,37.538122,"Leeum, Samsung Museum of Art.jpg"
Dobongsan,Mountain,"서울특별시 도봉구와 경기도 의정부시, 양주시 장흥면에 걸쳐 있는 해발 740m의 산.",,,,,,,,4.5,92,Outdoor,126.9981318,37.7004617,Dobongsan.jpg
Unhyeongung,Palace,"서울특별시 종로구에 있는 조선 후기 흥선대원군의 사가.  1977년 11월 22일 사적 제257호로 지정되었다. 흥선대원군의 둘째 아들인 고종(高宗:재위 1863∼1907)이 출생하여 12세에 왕위에 오르기 전까지 성장한 잠저(潛邸)이다. 철종(哲宗:재위 1849∼1863)의 뒤를 이어 고종이 즉위하자 생부(生父) 이하응(李昰應)은 흥선대원군이 되었고, 생모 민씨는 여흥부대부인(驪興府大夫人)의 봉작을 받았다. ",9AM–7PM,9AM–7PM,Closed,9AM–7PM,9AM–7PM,9AM–7PM,9AM–7PM,4.2,614,Outdoor,126.9852092,37.5760774,Unhyeongung.jpg
Tapgol Park,Park,사적 제354호로 지정되어 있는 탑골공원은 우리나라 최초의 도심 내 공원으로 1919년 3·1운동이 일어났던 곳이다. 고려시대 흥복사가 있던 자리에 1465년(세조 11년)에 원각사라는 절이 세워졌으나 연산군 때 폐사되었고 고종 34년에 영국인 브라운의 설계에 의해 공원으로 조성되었다.,,,,,,,,3.6,710,Outdoor,126.986191,37.5715621,Tapgol Park.jpg
Yeouido Hangang Park,Park,"여의도한강공원은 정치, 금융, 언론의 중심지인 여의도에 자리하고 지하철, 버스 등 대중교통으로 접근성이 좋아 직장인과 일반시민들이 즐겨찾는 명소이자 봄꽃축제, 세계불꽃축제, 각종 공연 및 마라톤행사 등 다양한 행사가 이어져 볼거리와 즐길거리가 풍부한 휴식공간입니다. 

또한 밤섬, 여의도 샛강 등이 비교적 자연그대로 보존되어 있어 생태학습장 및 자연친화형 공원으로 조성되어 있습니다",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.5,"2,691",Outdoor,126.9321072,37.5284017,Yeouido Hangang Park.jpg
Myeongdong Cathedral,Cathedral,"Brick-built, 19th-century, Gothic-style Catholic cathedral with a 45m-high bell tower.",,,,,,,,4.5,624,Indoor,126.9842134,37.5630609,Myeongdong Cathedral.jpg
Namsangol Hanok Village,Cultural Preservation Area,"서울특별시 중구 필동 일대의 한옥이 보존되어 있는 마을.  1989년 남산골의 제모습 찾기 사업에 의해 조성한 마을로 수도방위사령부 부지를 인수하여, 서울특별시 지정 민속자료 한옥 5개 동을 이전 복원하고 전통정원으로 꾸몄다. 1998년 4월 18일에 개관하였다.",9AM–9PM,9AM–9PM,Closed,9AM–9PM,9AM–9PM,9AM–9PM,9AM–9PM,4.2,"3,127",Outdoor,126.992283,37.559315,Namsangol Hanok Village.jpg
Gwanaksan,Mountain,"서울특별시 관악구 신림동과 동작구 사당동, 경기도 안양시, 과천시의 경계에 있는 산이다. 높이는 632 m.",,,,,,,,4.5,117,Outdoor,126.9434499,37.4429367,Gwanaksan.jpg
Gyeongui Line Forest Park,Park,서울특별시 마포구 연남동에서 용산구 효창동까지 이어진 6.3km 길이의 공원. 옛 경의선(용산선) 폐철길을 공원으로 탈바꿈시킨 서울의 도시재생 프로젝트의 일환이다. 일부 구간에는 경의선 시절의 레일 및 건널목을 재현해 놓았다. 옛 폐차량을 체험 목적으로 전시한 곳도 있다.,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.3,118,Outdoor,126.9233815,37.5584769,Gyeongui Line Forest Park.jpg
Coffee Smith Gyeongnidan-gil,Coffee Store,"푸드플라이, 넓은공간, 한가한, 쾌적한분위기, 분위기좋은, 데이트하기좋은, 점심",10AM–1AM,10AM–11PM,10AM–11PM,10AM–11PM,10AM–11PM,10AM–11PM,10AM–1AM,3.8,37,Indoor,126.9878375,37.5393308,Coffee Smith Gyeongnidan-gil.jpg
Times Square Mall,Mall,"새로운 도시형 엔터테인먼트 문화공간(UELC-Urban Entertailing Lifestyle Center)인 영등포 타임스퀘어는 100년의 역사를 가지고 있는 주식회사 경방에서 2006년부터 총 공사비 6,000억 원을 투자해 건설한 국내 최대 규모의 복합쇼핑몰입니다.",10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,10:30AM–10PM,4.2,"5,284",Indoor,126.9009818,37.5171639,Times Square Mall.jpg
Seoul Art Space Mullae,NPO,"서울특별시 영등포구에 위치한 예술관으로, 문래동 예술촌을 방문하면
예술인들의 갤러리와  작업실 및 다양한 벽화와 조형물들 뿐 아니라 철공소에서 열심히 작업하시는 분들도 볼 수 있다.",,,,,,,,4.1,19,Indoor,126.897949,37.5131769,Seoul Art Space Mullae.jpg
Banpo Hangang Park,Park,"반포대교(잠수교)를 중심으로 상류는 한남대교, 하류는 동작대교 사이 강변 남단에 위치해 있고, 길이는 7.2㎞로 서초구 반포동, 동작구 흑석동에 인접해 있습니다. 물을 뿜을 때마다 아름다운 풍경을 연출하여 일곱빛깔 무지개처럼 다양한 볼거리와 즐길거리를 제공합니다. 또한 물방울놀이터, 인라인허브, 축구장, 농구장 등 체육시설이 있습니다. 동작대교 남단에는 전망대가 설치되어 탁 트인 한강수면 위로 펼쳐진 넓은 하늘과 강변 빌딩숲을 감상할 수 있습니다. 서래섬은 계절에 따라 유채, 메밀 등의 작물을 식재하여 꽃이 피는 시기에는 서래섬을 일주하는 산책코스로 인기가 높습니다. 여의도와 잠원한강공원으로 연결되는 7.2㎞의 자전거도로, 산책로가 분리되어 시원한 강바람을 맞으며 자전거타기, 조깅, 산책을 즐기면서 반포한강공원에서 오감만족 시간을 누려보세요.",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.2,"2,042",Outdoor,126.9961397,37.5110052,Banpo Hangang Park.jpg
Seolleung and Jeongneung Royal Tombs,Cultural Preservation Area,서울특별시 강남구 삼성동에 있는 조선시대 선릉과 정릉을 합한 능호.,6AM–9PM,6AM–9PM,Closed,6AM–9PM,6AM–9PM,6AM–9PM,6AM–9PM,4.3,363,Outdoor,127.0467917,37.5067588,Seolleung and Jeongneung Royal Tombs.jpg
Jamsil Han River Park,Park,"잠실철교에서 영동대교 사이 강변 남단에 위치해 있으며, 잠실종합운동장, 롯데월드, 올림픽공원이 인접해 있어 어느 지역보다 생활체육시설 및 문화시설을 함께 이용하기 편리합니다. 자연학습장은 각종 꽃,야생화,농작물 등이 잘 조성되어 어린이들의 자연학습과 가족단위의 소풍장소로 인기가 높습니다. 또한 잠실 수중보의 물고기길(어도)은 남녀노소 할 것 없이 살아있는 한강을 직접 느낄수 있고, 생태프로그램도 운영되고 있는 또 하나의 자랑거리이다.",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.3,"1,009",Outdoor,127.081523,37.5179526,Jamsil Han River Park.jpg
Yangjae Citizens' Forest,Park,"1980년대 개포지구 토지구획 정리사업의 일환으로 1983년에 착공하고 1986년 11월에 완공하여 문을 열었다. 1986년의 서울아시아경기대회와 1988년의 제24회 올림픽경기대회를 위해 서울특별시의 관문인 양재 톨게이트 주변에 조성한 공원으로, 다양한 수종의 숲이 볼만하다. 면적은 총 25만 8,992㎡이며 그 중 녹지대가 20만 5872㎡, 주차장이 5,972㎡, 광장이 7,211㎡, 기타 시설이 3만 9937㎡를 차지한다. 주요 시설물로는 조경시설로 잔디광장과 파고라(그늘막) 등이 있고 운동시설로 배구장·배드민턴장·테니스장이 있다.",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.4,486,Outdoor,127.0333837,37.4706864,Yangjae Citizens' Forest.jpg
Olympic Stadium,Stadium,"면적 54만 5000m2. 수용능력 20만 명. 동대문운동장과 장충체육관 등 기존시설만으로는 국내외의 스포츠 수요에 대응하기 어려움을 감안하여 서울시가 1976년 10월 건설기본계획을 수립하였다. 대한탁구협회가 건설할 계획이었던 사라예보 세계탁구제패 기념관을 흡수하여 이를 종합운동장 내의 실내체육관으로 확장 건설할 것을 결정했다. 실내체육관(7,000평 : 수용능력 2만 명)은 1979년 4월에 준공 ·개관하였고, 실내수영장(6000평 : 4,500명 수용)도 1980년 12월에 완공하였다. 1982년 6월 야구장(1만 8000평 : 5만 명 수용능력)이 준공되었고, 시설면적 4만 평에 수용인원 10만 명, 2층 구조 관람석을 갖춘 주경기장도 1984년 9월에 개장하였다. 이 밖에 보조경기장(2만 명 수용능력) ·데크플라자 ·주차장 ·녹지 등이 조성되었다. 지하철 2호선의 운동장 앞 경유, 입체교차로, 지하보도 등의 설치로 교통 소통을 원활히 하고 단지내에 기념탑과 기타 각종 편의시설을 갖추었다",,,,,,,,4.2,909,Outdoor,127.0707589,37.5153144,Olympic Stadium.jpg
